"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Bulgaria|NA|NA",2020-03-25,"Bulgaria",NA,NA,3,3,3,242,0,0,24,0,7024216,0.145954653179814,0.643826202477506,0.21021914434268,43.7,64.7035372144436,0.0155
"Burkina Faso|NA|NA",2020-03-25,"Burkina Faso",NA,NA,4,4,4,146,0,0,32,0,19751535,0.449480813221662,0.526449378491703,0.0240698082866355,17.9,72.1912828947368,0.008341
"Cabo Verde|NA|NA",2020-03-25,"Cabo Verde",NA,NA,1,1,1,4,0,0,1,0,543767,0.287777669479759,0.666129058953559,0.0460932715666821,26.8,134.929776674938,0.005682
"Cameroon|NA|NA",2020-03-25,"Cameroon",NA,NA,1,1,1,75,0,1,75,0,25216237,0.426315798448676,0.546395427998918,0.0272887735524057,18.5,53.3439889149796,0.009501
"Canada|NA|NA",2020-03-25,"Canada",NA,NA,2,2,30,3251,0,4,461,0,37058856,0.158702508744405,0.668977424466943,0.172320066788651,41.8,4.07530821431988,0.0075
"Chile|NA|NA",2020-03-25,"Chile",NA,NA,3,3,3,1142,0,1,220,0,18729160,0.197539024707995,0.687162958723189,0.115298016568816,35.5,25.1894460666519,0.006076
"China|NA|NA",2020-03-25,"China",NA,NA,99.5454545454545,99.5454545454545,3285,81661,0,4,70,0,1392730000,0.178770027525543,0.712021137123803,0.109208835350654,38.4,148.348833270666,0.00711
"Colombia|NA|NA",2020-03-25,"Colombia",NA,NA,4,4,4,470,0,1,92,0,49648685,0.23077895979964,0.684440570001664,0.0847804701986958,31.2,44.7487021180712,0.005503
"Congo (Kinshasa)|NA|NA",2020-03-25,"Congo (Kinshasa)",NA,NA,2,2,2,48,0,0,3,0,84068091,0.461656420864844,0.508165172919176,0.0301784062159803,16.7,37.0825923557045,0.009691
"Costa Rica|NA|NA",2020-03-25,"Costa Rica",NA,NA,2,2,2,201,0,0,24,0,4999441,0.213247441063911,0.691254082206391,0.0954984767296984,32.6,97.9130630630631,0.005005
"Croatia|NA|NA",2020-03-25,"Croatia",NA,NA,1,1,1,442,0,0,60,0,4089400,0.145119400058464,0.650426269817306,0.20445433012423,43.9,73.0771979985704,0.013
